Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
gluon_inception_v3	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/gluon_inception_v3/config_gluon_inception_v3_MagFace_AdamW.yaml	222	19	0.0	2.258	9.974	5.935	0.0	3.867	12.992	8.543	0.0	3.675	13.759	9.423	0.0	3.447	13.199	8.849
gluon_inception_v3	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/gluon_inception_v3/config_gluon_inception_v3_MagFace_AdamW.yaml	222	39	0.0	2.39	11.169	6.746	0.0	3.723	12.689	8.524	0.0	4.672	14.124	10.211	0.0	4.035	13.852	9.571
gluon_inception_v3	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/gluon_inception_v3/config_gluon_inception_v3_MagFace_AdamW.yaml	222	79	0.0	2.486	11.276	6.919	0.0	3.627	13.699	9.388	0.0	4.527	15.513	11.598	0.0	3.843	14.799	10.484
gluon_inception_v3	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/gluon_inception_v3/config_gluon_inception_v3_MagFace_AdamW.yaml	222	99	0.0	2.21	11.472	7.052	0.0	3.675	13.951	9.584	0.0	4.66	15.509	11.655	0.0	4.011	15.055	10.718
gluon_inception_v3	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/gluon_inception_v3/config_gluon_inception_v3_MagFace_AdamW.yaml	222	100	0.0	2.39	11.613	7.192	0.0	3.759	14.07	9.696	0.0	4.66	15.38	11.572	0.0	4.167	15.022	10.727
