Model	config_file	seed	epoch
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	1
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	2
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	3
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	4
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	5
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	6
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	7
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	8
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	9
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	10
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	11
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	12
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	13
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	14
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	15
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	16
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	17
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	18
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	19
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	20
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	21
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	22
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	23
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	24
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	25
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	26
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	27
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	28
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	29
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	30
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	31
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	32
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	33
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	34
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	35
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	36
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	37
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	38
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	39
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	40
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	41
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	42
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	43
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	44
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	45
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	46
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	47
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	48
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	49
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	50
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	51
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	52
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	53
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	54
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	55
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	56
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	57
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	58
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	59
