Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
inception_v4	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/inception_v4/config_inception_v4_MagFace_SGD_0.1_cosine.yaml	222	19	0.0	0.829	9.84	3.858	0.0	1.273	10.995	5.001	0.0	0.865	10.734	5.118	0.0	0.925	10.059	4.765
inception_v4	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/inception_v4/config_inception_v4_MagFace_SGD_0.1_cosine.yaml	222	39	0.0	1.609	8.399	4.336	0.0	2.474	10.448	6.049	0.0	2.222	11.273	6.858	0.0	2.294	10.591	6.281
inception_v4	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/inception_v4/config_inception_v4_MagFace_SGD_0.1_cosine.yaml	222	79	0.0	1.537	9.784	5.013	0.0	2.258	12.072	7.331	0.0	2.606	13.003	8.618	0.0	2.27	12.382	7.731
inception_v4	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/inception_v4/config_inception_v4_MagFace_SGD_0.1_cosine.yaml	222	99	0.0	1.333	10.139	5.074	0.0	2.306	12.14	7.331	0.0	2.414	13.22	8.803	0.0	2.078	12.487	7.81
inception_v4	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/inception_v4/config_inception_v4_MagFace_SGD_0.1_cosine.yaml	222	100	0.0	1.249	10.236	5.154	0.0	2.234	12.241	7.423	0.0	2.474	13.262	8.843	0.0	1.957	12.593	7.915
