,index,epoch,Metric
94,inception_resnet_v2_ArcFace_SGD_0.1_cosine,10,0.23967320261437908
95,cspdarknet53_MagFace_SGD_0.1_cosine,10,0.20999999999999996
96,gluon_inception_v3_MagFace_SGD,10,0.2433333333333333
97,inception_resnet_v2_MagFace_SGD_0.1_cosine,10,0.18509803921568624
98,ghostnet_100_CosFace_sgd,10,0.28614379084967323
99,xception_ArcFace_SGD,10,0.25921568627450975
100,coat_lite_small_CosFace_SGD,10,0.3247385620915033
101,twins_svt_large_CosFace_SGD,10,0.6531372549019607
102,ese_vovnet39b_ArcFace_SGD_0.1_cosine,10,0.19947712418300656
103,legacy_senet154_MagFace_SGD,10,0.26398692810457514
104,vgg19_ArcFace_SGD,10,0.3150326797385621
105,ghostnet_100_MagFace_AdamW,10,0.4308823529411765
106,jx_nest_base_MagFace_AdamW_0.001_cosine,10,0.25003267973856214
107,jx_nest_base_ArcFace_SGD_0.1_cosine,10,1.0
108,twins_svt_large_CosFace_AdamW_0.001_cosine,10,0.10006535947712414
109,visformer_small_MagFace_AdamW,10,0.992875816993464
110,dla102x2_ArcFace_AdamW_0.001_cosine,10,0.295359477124183
111,ghostnet_100_CosFace_AdamW_0.001_cosine,10,0.33218954248366017
112,twins_svt_large_MagFace_SGD_0.1_cosine,10,1.0
113,resnetrs101_ArcFace_SGD_0.1_cosine,10,0.23183006535947714
114,ese_vovnet39b_MagFace_AdamW_0.001_cosine,10,0.21467320261437906
115,twins_svt_large_MagFace_SGD,10,0.8495424836601307
116,legacy_senet154_MagFace_AdamW,10,0.31758169934640523
117,xception65_CosFace_AdamW_0.001_cosine,10,0.1893137254901961
118,vgg19_MagFace_AdamW_0.001_cosine,10,0.2952941176470588
119,fbnetv3_g_ArcFace_SGD,10,0.5757516339869281
120,vgg19_ArcFace_AdamW,10,1.0
121,swin_base_patch4_window7_224_CosFace_Adam,10,0.2431372549019608
122,inception_resnet_v2_CosFace_RMSProp,10,1.0
