Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	19	0.0	4.612	8.886	5.973	0.0	6.197	10.047	7.289	0.0	9.847	12.374	10.194	0.0	8.142	11.18	8.609
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	39	0.0	2.738	11.277	6.98	0.0	4.551	12.183	8.211	0.0	6.521	14.545	11.376	0.0	5.476	13.635	9.926
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	59	0.0	2.066	13.079	7.583	0.0	2.69	14.345	9.285	0.0	4.587	16.018	12.067	0.0	3.074	15.098	10.488
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	79	0.0	2.006	14.018	8.042	0.0	2.726	14.741	9.249	0.0	4.059	17.016	12.763	0.0	2.93	16.22	11.268
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	99	0.0	2.042	14.112	8.099	0.0	2.666	14.855	9.273	0.0	3.939	16.999	12.711	0.0	2.858	16.208	11.255
densenet161	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/densenet161/config_densenet161_MagFace_AdamW_0.001_cosine.yaml	222	100	0.0	2.018	14.092	8.078	0.0	2.63	14.936	9.349	0.0	3.807	16.991	12.702	0.0	2.87	16.234	11.282
