Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
inception_resnet_v2	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	19	0.0	8.935	39.431	40.228	0.0	14.447	38.456	41.565	0.0	14.291	39.968	44.481	0.0	15.107	39.63	43.865
inception_resnet_v2	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	39	0.0	5.704	45.78	48.932	0.0	9.199	43.684	47.963	0.0	8.575	46.478	53.652	0.0	9.379	44.287	49.171
inception_resnet_v2	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	79	0.0	6.005	47.398	52.482	0.0	7.998	47.799	55.541	0.0	6.785	49.967	60.866	0.0	8.743	48.452	57.562
inception_resnet_v2	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	99	0.0	6.017	46.823	51.475	0.0	8.611	47.423	55.028	0.0	7.302	49.506	60.072	0.0	9.127	48.066	57.098
inception_resnet_v2	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	100	0.0	6.113	46.898	51.664	0.0	8.815	47.383	54.974	0.0	7.662	49.518	60.157	0.0	9.427	48.008	57.061
