Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
xception	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/xception/config_xception_ArcFace_AdamW.yaml	222	19	0.0	1.825	5.976	3.314	0.0	3.963	7.559	4.921	0.0	4.479	8.402	5.898	0.0	4.311	7.859	5.256
xception	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/xception/config_xception_ArcFace_AdamW.yaml	222	39	0.0	1.801	6.984	3.937	0.0	3.327	7.883	5.034	0.0	4.599	9.091	6.553	0.0	3.327	8.449	5.757
xception	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/xception/config_xception_ArcFace_AdamW.yaml	222	79	0.0	1.261	7.325	3.878	0.0	2.354	8.606	5.37	0.0	3.254	9.351	6.585	0.0	2.198	8.789	5.811
xception	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/xception/config_xception_ArcFace_AdamW.yaml	222	99	0.0	1.129	7.2	3.798	0.0	2.21	8.631	5.396	0.0	2.93	9.313	6.567	0.0	2.318	8.799	5.838
xception	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/xception/config_xception_ArcFace_AdamW.yaml	222	100	0.0	1.117	7.25	3.815	0.0	2.318	8.601	5.373	0.0	2.87	9.347	6.597	0.0	2.402	8.8	5.839
