Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
visformer_small	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/visformer_small/config_visformer_small_ArcFace_AdamW.yaml	222	19	0.036	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan
visformer_small	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/visformer_small/config_visformer_small_ArcFace_AdamW.yaml	222	39	0.036	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan
visformer_small	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/visformer_small/config_visformer_small_ArcFace_AdamW.yaml	222	79	0.036	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan
visformer_small	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/visformer_small/config_visformer_small_ArcFace_AdamW.yaml	222	99	0.036	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan
visformer_small	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/visformer_small/config_visformer_small_ArcFace_AdamW.yaml	222	100	0.036	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan	0.0	0.0	nan	nan
