Model	config_file	seed	epoch
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	0
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	1
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	2
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	3
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	4
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	5
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	6
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	7
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	8
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	9
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	10
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	11
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	12
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	13
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	14
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	15
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	16
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	17
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	18
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	19
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	20
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	21
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	22
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	23
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	24
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	25
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	26
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	27
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	28
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	29
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	30
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	31
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	32
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	33
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	34
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	35
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	36
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	37
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	38
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	39
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	40
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	41
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	42
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	43
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	44
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	45
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	46
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	47
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	48
dla102x2	configs_unified_lr/dla102x2/config_dla102x2_MagFace_AdamW_0.001_cosine.yaml	222	49
