Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_AdamW.yaml	222	19	0.0	2.414	9.528	5.802	0.0	3.387	11.946	7.822	0.0	3.435	12.297	8.109	0.0	3.891	11.69	7.797
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_AdamW.yaml	222	39	0.0	2.75	10.331	6.406	0.0	5.212	12.372	8.647	0.0	4.96	12.723	9.014	0.0	4.768	12.157	8.533
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_AdamW.yaml	222	79	0.0	2.99	11.676	7.553	0.0	5.32	13.574	9.703	0.0	5.296	15.1	11.515	0.0	5.02	14.024	10.347
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_AdamW.yaml	222	99	0.0	2.774	12.236	7.929	0.0	5.248	14.118	10.137	0.0	5.524	15.237	11.699	0.0	4.587	14.415	10.716
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_AdamW.yaml	222	100	0.0	2.822	12.285	7.979	0.0	5.164	14.097	10.143	0.0	5.464	15.245	11.732	0.0	4.852	14.349	10.691
