Model	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
resnetv2_101	222	2	0.0	3.916	22.583	3.601	0.0	3.326	21.751	3.006
xcit_nano_12_p8_224	222	2	0.0	50.576	16.504	12.644	0.0	41.737	13.338	9.212
efficientnet_b1	222	-1	0.0	11.131	38.949	11.946	0.0	9.049	37.48	10.512
efficientnet_b0	222	-1	0.0	12.402	33.02	11.774	0.0	10.437	32.433	10.838
cspdarknet53	222	-1	0.0	15.872	3.461	1.266	0.0	13.973	3.242	1.148
efficientnet_b2_pruned	222	-1	0.0	10.477	33.2	9.717	0.0	9.049	32.652	8.844
efficientnet_b2	222	-1	0.0	13.672	15.769	5.462	0.0	10.974	14.447	4.682
efficientnet_b3_pruned	222	-1	0.0	12.31	42.626	15.234	0.0	10.477	41.114	13.56
ecaresnet50d_pruned	222	-1	0.0	5.487	5.043	0.919	0.0	4.95	4.762	0.876
ecaresnetlight	222	-1	0.0	4.584	9.534	1.506	0.0	4.937	8.704	1.398
ecaresnet50t	222	-1	0.0	4.819	6.85	1.151	0.0	5.251	6.317	1.079
efficientnet_em	222	-1	0.0	8.787	3.022	1.053	0.0	7.177	2.976	1.009
densenet169	222	-1	0.0	10.608	4.239	1.191	0.0	9.416	4.065	1.102
dm_nfnet_f0	222	-1	0.0	4.57	11.826	2.412	0.0	4.413	10.525	2.05
eca_nfnet_l1	222	-1	0.0	4.034	12.583	2.259	0.0	4.439	11.389	1.929
fbnetv3_g	222	-1	0.0	14.17	17.946	6.459	0.0	12.847	18.386	6.304
gcresnext26ts	222	-1	0.0	4.819	23.777	4.498	0.0	4.937	22.208	4.082
gcresnext50ts	222	-1	0.0	4.819	24.741	4.12	0.0	4.295	22.897	3.708
gluon_resnet101_v1c	222	-1	0.0	7.059	5.358	1.363	0.0	6.207	5.041	1.249
efficientnet_b0	222	0	0.0	1.257	31.557	4.388	0.0	0.786	31.649	3.756
gluon_resnet101_v1s	222	-1	0.0	7.465	6.906	1.676	0.0	6.836	6.417	1.53
gluon_resnet50_v1b	222	-1	0.0	6.915	8.436	1.918	0.0	6.103	7.901	1.798
efficientnet_b2_pruned	222	0	0.0	12.179	25.801	0.591	0.0	8.263	26.434	0.577
efficientnet_b3_pruned	222	0	0.0	1.231	28.304	2.086	0.0	0.969	29.155	1.863
efficientnet_b1	222	0	0.0	0.668	21.775	1.184	0.0	0.694	22.929	1.242
efficientnet_b2	222	0	0.0	0.891	30.334	2.728	0.0	0.458	32.09	2.867
legacy_seresnet34	222	-1	0.0	11.354	1.913	0.601	0.0	9.639	1.772	0.541
ecaresnet50d_pruned	222	0	0.0	2.279	25.775	2.319	0.0	2.645	23.994	1.977
lambda_resnet50ts	222	-1	0.0	4.924	25.881	4.642	0.0	4.322	24.027	4.214
efficientnet_em	222	0	0.0	2.567	20.996	1.165	0.0	2.187	21.771	1.076
ecaresnetlight	222	0	0.0	3.051	28.855	5.302	0.0	3.012	26.974	4.947
mobilenetv2_100	222	-1	0.0	7.163	4.731	1.699	0.0	5.998	4.647	1.632
gcresnext26ts	222	0	0.0	5.16	31.479	9.729	0.0	5.042	30.827	9.451
efficientnet_b0	222	1	0.0	5.317	27.379	6.743	0.0	3.091	28.548	5.942
mobilenetv3_rw	222	-1	0.0	11.852	10.659	3.957	0.0	9.128	10.136	3.62
cspdarknet53	222	0	0.0	2.397	16.542	0.357	0.0	2.122	16.876	0.321
ecaresnet50t	222	0	0.0	3.483	24.144	4.787	0.0	3.68	22.688	4.5
gcresnext50ts	222	0	0.0	2.095	27.086	2.766	0.0	1.755	25.673	2.18
efficientnet_b2_pruned	222	1	0.0	1.205	22.345	1.284	0.0	0.969	23.393	1.208
efficientnet_b3_pruned	222	1	0.0	2.122	25.914	2.983	0.0	1.218	26.797	2.919
regnety_016	222	-1	0.0	5.356	10.063	2.047	0.0	4.426	9.255	1.839
efficientnet_b1	222	1	0.0	1.1	21.144	1.994	0.0	0.917	22.438	1.859
legacy_seresnet34	222	0	0.0	3.182	14.135	0.796	0.0	2.632	16.033	0.75
efficientnet_b2	222	1	0.0	1.925	26.42	3.694	0.0	1.323	26.609	3.426
ecaresnet50d_pruned	222	1	0.0	3.706	17.011	1.818	0.0	2.776	16.02	1.813
mobilenetv2_100	222	0	0.0	0.733	25.901	2.517	0.0	0.498	22.792	1.666
gluon_resnet50_v1b	222	0	0.0	2.842	22.412	3.218	0.0	2.58	21.609	2.86
efficientnet_b0	222	2	0.0	7.569	23.223	6.601	0.0	5.291	22.942	5.315
gcresnext26ts	222	1	0.0	10.856	25.153	10.036	0.0	8.84	26.365	9.682
mobilenetv3_rw	222	0	0.0	1.847	12.392	1.181	0.0	1.048	8.831	0.887
efficientnet_em	222	1	0.0	3.916	17.136	2.801	0.0	3.182	18.228	2.563
resnet101d	222	-1	0.0	4.963	5.376	0.977	0.0	5.12	5.026	0.931
ecaresnetlight	222	1	0.0	6.325	26.891	6.341	0.0	5.487	27.953	7.285
efficientnet_b2_pruned	222	2	0.0	1.82	26.172	1.073	0.0	1.689	25.158	0.822
efficientnet_b3_pruned	222	2	0.0	2.108	24.688	2.808	0.0	1.545	24.446	2.566
gluon_resnet101_v1c	222	0	0.0	3.968	23.391	3.081	0.0	3.143	23.201	2.83
regnety_016	222	0	0.0	2.855	15.316	1.718	0.0	2.41	15.793	1.509
efficientnet_b1	222	2	0.0	4.649	22.479	4.016	0.0	2.606	23.64	3.742
legacy_seresnet34	222	1	0.0	5.16	16.407	2.629	0.0	3.732	17.453	2.33
