Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	19	0.0	3.266	10.923	7.072	0.0	5.788	12.886	9.351	0.0	6.485	14.13	10.873	0.0	6.077	13.751	10.285
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	39	0.0	2.522	12.205	7.704	0.0	4.996	14.112	10.152	0.0	6.137	15.599	12.196	0.0	5.248	14.864	11.156
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	79	0.0	1.705	12.89	7.66	0.0	2.81	15.171	10.349	0.0	3.999	15.704	11.637	0.0	2.846	15.582	11.09
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	99	0.0	1.441	13.145	7.563	0.0	2.558	15.175	10.166	0.0	3.543	16.283	12.135	0.0	2.63	15.725	11.022
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	100	0.0	1.453	13.114	7.505	0.0	2.618	15.407	10.42	0.0	3.603	16.254	12.084	0.0	2.846	15.802	11.108
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	100	0.0	1.381	14.224	8.434	0.0	2.378	15.47	10.322	0.0	2.666	16.857	12.256	0.0	2.678	16.553	11.557
