Model	config_file	seed	epoch	Acc multi African	Acc k African	Intra African	Inter African	Acc multi Asian	Acc k Asian	Intra Asian	Inter Asian	Acc multi Caucasian	Acc k Caucasian	Intra Caucasian	Inter Caucasian	Acc multi Indian	Acc k Indian	Intra Indian	Inter Indian
gluon_xception65	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/gluon_xception65/config_gluon_xception65_MagFace_SGD_0.1_cosine.yaml	222	19	0.0	2.126	9.125	4.922	0.0	3.567	10.71	6.846	0.0	4.287	11.137	7.646	0.0	3.699	10.976	7.181
gluon_xception65	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/gluon_xception65/config_gluon_xception65_MagFace_SGD_0.1_cosine.yaml	222	39	0.0	1.705	10.456	5.885	0.0	3.615	10.498	6.716	0.0	4.311	12.178	8.777	0.0	3.375	11.534	7.888
gluon_xception65	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/gluon_xception65/config_gluon_xception65_MagFace_SGD_0.1_cosine.yaml	222	79	0.0	1.597	10.587	5.679	0.0	2.582	11.286	7.198	0.0	3.423	12.004	8.517	0.0	2.75	11.575	7.799
gluon_xception65	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/gluon_xception65/config_gluon_xception65_MagFace_SGD_0.1_cosine.yaml	222	99	0.0	1.429	10.651	5.667	0.0	2.306	11.033	6.913	0.0	3.291	11.711	8.27	0.0	2.558	11.372	7.662
gluon_xception65	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_unified_lr/gluon_xception65/config_gluon_xception65_MagFace_SGD_0.1_cosine.yaml	222	100	0.0	1.489	10.761	5.754	0.0	2.402	11.075	6.966	0.0	3.194	11.708	8.255	0.0	2.486	11.387	7.688
